Timestamp,PlateNumber,DetectionScore,OcrConfidence,CombinedScore
2025-09-07T08:17:29.261852+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.293850+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.369953+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.406953+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.502667+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.538960+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.573851+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.623118+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.656847+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.701984+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.779395+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.812846+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.860269+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.899787+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.967653+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.007337+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.065240+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.099614+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.165407+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.207714+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.261974+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.303558+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.363407+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.404046+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.458718+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.495730+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.527594+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.608116+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.643897+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.686563+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.767536+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.807718+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.853183+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.891463+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:30.967458+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.012794+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.058446+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.092994+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.163289+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:31.205920+00:00,GJ36AJ8335,0.85,0.991,0.9205
